user_location,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
"Patna, India",2015-09-21 12:09:28,17648,196,7848,True,2020-08-10 08:51:26,"4pm zee hindustan live 
#sushant singh Rajput",['sushant'],Twitter for iPhone,False
"Maharashtra, India",2019-12-17 13:18:38,0,59,36,False,2020-08-10 08:14:59,@sardesairajdeep support kar  #sushant Singh rajput otherwise go to hell oth this case.......,['sushant'],Twitter for Android,False
"California, USA",2009-09-18 13:30:29,160,65,11,False,2020-08-10 08:08:13,"Sushant Singh Rajputs pet dog still waits for him
 #Bollywood #Fudge #Labrador #Rajput #Singh #Sushant… https://t.co/inKGs25uEJ","['Bollywood', 'Fudge', 'Labrador', 'Rajput', 'Singh', 'Sushant']",Blog2Social APP,False
"Uttar Pradesh, India",2020-06-03 04:33:59,1608,1693,877,False,2020-08-10 07:01:10,"we want death penalty for Rhea Chakraborty
Kill #RheaChakraborty maut ke badle maut
Justice for #Disha and #Sushant Singh Rajput
#ArrestRhea","['RheaChakraborty', 'Disha', 'Sushant', 'ArrestRhea']",Twitter for Android,False
"Pratapgarh, UP,India",2017-01-05 00:17:38,570,68,33267,False,2020-08-10 03:37:50,Sushant Singh Rajput’s sister Shweta Singh Kirti  participates in Digital Protest while holding placard and writes… https://t.co/NlO2VFKmsv,,Twitter for Android,False
,2020-06-05 03:23:20,2,19,77,False,2020-08-10 02:28:05,"###sushant singh rajput ko insaf kab ...
Disha saliyan ko insaf kab ...
###who kill them both ..

Why maharashtra g… https://t.co/WIYjsqqUtP","['sushant', 'who']",Twitter for Android,False
"California, USA",2009-09-18 13:30:29,160,65,11,False,2020-08-09 23:05:28,"Sushant Singh Rajputs pet dog still waits for him
 #Fudge #Labrador #Rajput #Singh #Sushant https://t.co/D5qypVSwSj","['Fudge', 'Labrador', 'Rajput', 'Singh', 'Sushant']",Blog2Social APP,False
"Hyderabad, India",2018-04-14 20:23:47,1774,896,26782,False,2020-08-09 21:28:48,“Disha Salian’s body being found naked is false”: Mumbai Police rejects @ArnabGoswamiRTV TV claim; Sooraj #Pancholi… https://t.co/4i3e2AtF7z,['Pancholi'],Twitter for Android,False
"Maharashtra, India",2019-12-17 13:18:38,0,59,36,False,2020-08-09 16:16:19,#ArnabGoswami  we are with you #sushant singh rajput https://t.co/1BLe1N6cpO,"['ArnabGoswami', 'sushant']",Twitter for Android,False
"Uttar Pradesh, India",2020-06-03 04:33:59,1608,1693,877,False,2020-08-09 15:40:49,"@republic Justice for  #Sushant Singh Rajput
and #Disha salliyan","['Sushant', 'Disha']",Twitter for Android,False
"New Delhi, India",2016-04-10 06:27:03,6,92,69,False,2020-08-09 12:51:26,"Chota Mota Mudda my foot...!! 

Shiv Sena leader Sanjay Raut says, SUSHANT SINGH RAJPUT's case is a small issue &amp; s… https://t.co/TbnF4nQux2",,Twitter for iPhone,False
"Delhi, India",2020-04-21 18:26:32,1,13,1,False,2020-08-09 12:06:14,"https://t.co/4MEpyMG0lf

#Actor #Sushant #Singh #Rajput ‘s #brother-in-law, #Vishal #Kirti, has #slammed a recent n… https://t.co/jqIqCSroiy","['Actor', 'Sushant', 'Singh', 'Rajput', 'brother', 'Vishal', 'Kirti', 'slammed']",Twitter Web App,False
,2015-04-24 17:11:52,7,33,3,False,2020-08-09 09:46:32,"Being a Public representative and as a CM you are questionable and you can't run away from them .

#Sushant Singh Rajput case",['Sushant'],Twitter for Android,False
,2020-06-13 16:27:06,0,0,2,False,2020-08-09 08:41:27,"RANKING THE TOP 5 BEST SUSHANT SINGH RAJPUT ROLES
Check it on:-https://t.co/8GMOzUfDcs
#sushantsinghrajput… https://t.co/KJIRoQwTvv",['sushantsinghrajput'],Twitter for Android,False
"Patna, India",2015-09-21 12:09:28,17648,196,7848,True,2020-08-09 07:54:04,"4pm zee hindustan live 
#sushant singh Rajput @Zee_Hindustan @Jduonline",['sushant'],Twitter for iPhone,False
,2019-03-12 14:23:37,264,92,277,False,2020-08-09 07:21:32,@sardesairajdeep @IndiaToday #today you made a statement about #@#Sushant Singh Rajput and showed his dirty mindset… https://t.co/nt8isxxdY5,"['today', 'Sushant']",Twitter for Android,False
,2020-01-30 08:44:07,0,19,34,False,2020-08-09 05:29:52,"Why mumbai police doesn't want  CBI on these case becaz Aditya Thackeray want to safe, if he believes mumbai police… https://t.co/dlXlEzjwDC",,Twitter Web App,False
India,2020-07-25 03:38:29,1,130,30,False,2020-08-09 04:20:36,"#SushantSinghRajput Last Searched Things On Google Before He Dies | Shocking News About #Sushant Singh Rajput

Link… https://t.co/FGEESDVAck","['SushantSinghRajput', 'Sushant']",Twitter for Android,False
Patna ,2012-01-31 05:34:39,97,114,35,False,2020-08-09 02:34:12,"⁦A Toxic Media
⁦@ThePrintIndia⁩ 
A Toxic Journalist 
⁦@jyotiyadaav⁩ 
A Toxic Column about #Sushant

paid columnist… https://t.co/fbPZhuItOm",['Sushant'],Twitter for iPhone,False
mumbai,2011-11-03 04:47:13,3567,1089,9051,True,2020-08-09 01:48:10,"Guide To Depression: For Dummies and News Anchors
 https://t.co/wgPhN35Ocj #TV News #Sushant Singh Rajput #mental health","['TV', 'Sushant', 'mental']",Twitter Web App,False
London,2011-05-06 07:31:11,366,1467,1887,False,2020-08-08 21:00:49,"⁦@BBCNewsAsia⁩ this article is misleading, #Sushant suspicious death-flat wasn’t sealed, area wasn’t cordon off, 25… https://t.co/SansktxEEW",['Sushant'],Twitter for iPad,False
Ziro,2017-12-09 17:54:10,10,218,1,False,2020-08-08 20:00:55,"Let's pray for #Sushant #Singh #Rajput family to get justice soon,,!!! https://t.co/4d2XZH2ZYs","['Sushant', 'Singh', 'Rajput']",Twitter for Android,False
india,2015-03-29 04:51:51,28966,84,162,False,2020-08-08 16:45:58,"Another loss to Bollywood, #Sushant Singh Rajput dies #moviezupp https://t.co/6yKrAKC0wF #bollywood #dhoni #msdhoni… https://t.co/FQ6NtZ5ESj","['Sushant', 'moviezupp', 'bollywood', 'dhoni', 'msdhoni']",Revive Social App,False
Pune,2013-04-17 04:33:02,6,287,23,False,2020-08-08 16:21:28,"#DishaAndSSRCaseLinked 
Why aren't #tests like #narcoanalysis, #polygraph and #brain #mapping tests made #legal and… https://t.co/HsNY0SgHku","['DishaAndSSRCaseLinked', 'tests', 'narcoanalysis', 'polygraph', 'brain', 'mapping', 'legal']",Twitter Web App,False
India,2009-08-08 17:15:48,1056,956,9906,False,2020-08-08 16:14:26,"Guide To Depression: For Dummies and News Anchors
 https://t.co/T4WOKTDPmO #TV News #Sushant Singh Rajput #mental health","['TV', 'Sushant', 'mental']",Twitter Web App,False
"New Delhi, India",2020-06-19 02:11:43,482,252,494,False,2020-08-08 14:49:06,"“#Sushant Singh Rajput is not such a big star that Mumbai Police should be put under so much pressure.” 

You shoul… https://t.co/2nSUhNbou6",['Sushant'],Twitter for Android,False
"Tripura, India",2018-03-17 14:59:07,10,158,2175,False,2020-08-08 14:36:14,"#Warriors4SSR 
We want justice for #sushant singh rajput sir 
@ishkarnBHANDARI @Swamy39 @lostsoul_apu @anky1912… https://t.co/7LTEnqtEFF","['Warriors4SSR', 'sushant']",Twitter for Android,False
,2020-07-25 06:53:27,47,3,214,False,2020-08-08 12:26:50,Finally were able to see progress in Sushant Singh Rajput Death Case. Were getting close to getting justice for… https://t.co/T9O9yefSQO,,Twitter for iPhone,False
,2013-05-25 09:41:53,84,103,1672,False,2020-08-08 12:24:15,Friends have also spoken about how #Sushant Singh Rajput allegedly felt trapped in his relationship with… https://t.co/QjIseOdiBZ,['Sushant'],Twitter Web App,False
New York,2013-06-07 17:22:37,1918,783,403,False,2020-08-08 11:53:09,"Haryana CM Manohar Lal Khattar meets Sushant Singh Rajput’s Family. 

.
.
.
.
#sushantsinghrajput #sushant… https://t.co/Nyx4xbOt3N","['sushantsinghrajput', 'sushant']",Twitter for iPhone,False
,2013-04-05 06:50:31,8,125,90,False,2020-08-08 11:40:00,"Sushant Singh rajput giving his review on student of the year and telling his opinion on the film ❤❤

I miss this c… https://t.co/pcp0eK6WLy",,Twitter for Android,False
"KHARAGPUR , WEST BENGAL",2020-07-25 13:58:02,6,136,44,False,2020-08-08 11:39:59,@subudhi_sriya Justice for #Sushant Singh Rajput,['Sushant'],Twitter for Android,False
,2017-09-01 20:28:16,384,89,1,False,2020-08-08 10:30:23,"Sushant Singh Rajput's death case: CBI studying documents received from Bihar Police 

#SushantSinghRajput… https://t.co/JAXyT5OwLC",['SushantSinghRajput'],Twitter Web App,False
,2020-08-08 10:08:20,0,0,2,False,2020-08-08 10:09:24,I know who ur poster girl? 15Cr were siphoned off frm #Sushant Singh Rajput's A/C? All credit/debit cards were in… https://t.co/S23CAfHDkb,['Sushant'],Twitter for Android,False
new delhi,2012-01-08 15:42:50,214538,1153,86,True,2020-08-08 08:44:28,"Guide To Depression: For Dummies and News Anchors
 https://t.co/wcr9wn7XYH #TV News #Sushant Singh Rajput #mental health","['TV', 'Sushant', 'mental']",Twitter Web App,False
"Delhi, India",2013-01-14 07:47:53,76243,180,0,True,2020-08-08 07:18:14,"#Sushant's father files affidavit in SC in response to #RheaChakraborty's plea to transfer the case

https://t.co/NQBed4wC4f","['Sushant', 'RheaChakraborty']",Twitter Web App,False
Canada,2020-07-04 02:50:32,9,37,3066,False,2020-08-08 07:05:53,@republic @Ashish_Johri_ since you analyzed #sushant's writing in a previous article (https://t.co/2qKX8tI3r5) please analyze this!,['sushant'],Twitter Web App,False
,2016-10-01 16:05:56,4,54,125,False,2020-08-08 06:12:07,"@kangna_ranaut__ We are not in silence, we want justice for #Sushant Singh Rajput",['Sushant'],Twitter Web App,False
Kenya,2011-07-25 17:36:43,7057,612,3276,True,2020-08-08 04:00:00,"A day after Sushant Singh Rajput's case was handed over to Central Bureau of Investigation (CBI), the agency has re… https://t.co/m7iVcEPlNf",,TweetDeck,False
,2020-06-17 03:20:35,0,12,1,False,2020-08-08 02:10:51,Can we really expect a fair CBI Investigation on #Sushant Singh Rajput.. We want fair and transparent investigation… https://t.co/3db9dQRhSI,['Sushant'],Twitter Web App,False
